GRIP Oxygen Isotopes

REFERENCES:		

Johnsen, S.J., H.B. Clausen, W. Dansgaard, N.S. Gundestrup, C.U. Hammer, U.
Andersen, K.K. Andersen, C.S. Hvidberg, D. Dahl-Jensen, J.P. Steffensen, H.
Shoji, A.E. Sveinbjörnsdóttir, J.W.C. White, J. Jouzel, and D. Fisher.
1997. The d18O record along the Greenland Ice Core Pproject deep ice core
and the problem of possible Eemian climatic instability. Journal of
Geophysical Research 102:26397-26410.

Dansgaard, W., S.J. Johnsen, H.B. Clausen, D. Dahl-Jensen, N.S. Gundestrup,
C.U. Hammer, C.S. Hvidberg, J.P. Steffensen, A.E. Sveinbjörnsdóttir, J.
Jouzel, and G.C. Bond. 1993. Evidence for general instability of past
climate from a 250 kyr ice-core record. Nature 264:218-220.

GRIP Members. 1993. Climate instability during the last interglacial period
recorded in the GRIP ice core. Nature 364:203-207.

Grootes, P.M., M. Stuiver, J.W.C. White, S.J. Johnsen, and J. Jouzel. 1993.
Comparison of oxygen isotope records from the GISP2 and GRIP Greenland ice
cores. Nature 366:552-554.

Dansgaard, W., J.W.C. White, and S.J. Johnsen. 1989. The abrupt termination
of the Younger Dryas climate event. Nature 339:532-533.

DATA DESCRIPTION:
		
This data set contains 55cm average delta 18-O values from the GRIP core. 
These data were used in the construction of the glaciological timescale 
given in the file gripage.dat and reproduced here.

DATA:

Depth (m)	del18O	Age (yrs BP)
169.95	-36.15	613.38
170.50	-35.38	616.15
171.05	-34.6	618.73
171.60	-35.72	621.16
172.15	-35.57	623.81
172.70	-34.94	626.44
173.25	-35.76	628.93
173.80	-36.29	631.6
174.35	-35.36	634.41
174.90	-35.75	636.99
175.45	-35.45	639.66
176.00	-35.49	642.26
176.55	-33.47	644.87
177.10	-34.59	647.16
177.65	-34.91	649.59
178.20	-34.65	652.09
178.75	-35.74	654.54
179.30	-34.95	657.21
179.85	-35.06	659.71
180.40	-35.14	662.24
180.95	-34.33	664.78
181.50	-35.03	667.18
182.05	-34.15	669.71
182.60	-34.51	672.08
183.15	-35.43	674.52
183.70	-35.14	677.12
184.25	-35.3	679.67
184.80	-33.92	682.25
185.35	-34.94	684.6
185.90	-36.27	687.11
186.45	-36.36	689.94
187.00	-35.65	692.79
187.55	-35.91	695.45
188.10	-34.02	698.18
188.65	-36.31	700.55
189.20	-34.17	703.39
189.75	-35.91	705.78
190.30	-35.76	708.51
190.85	-35.04	711.2
191.40	-34.61	713.74
191.95	-34.4	716.2
192.50	-35.91	718.63
193.05	-34.93	721.36
193.60	-35.48	723.88
194.15	-33.62	726.51
194.70	-33.73	728.84
195.25	-35.25	731.18
195.80	-35.94	733.77
196.35	-33.96	736.51
196.90	-35.85	738.88
197.45	-34.45	741.61
198.00	-34.99	744.05
198.55	-34.51	746.59
199.10	-35.25	749.04
199.65	-34.25	751.63
200.20	-35.43	754.04
200.75	-35.26	756.68
201.30	-35.84	759.27
201.85	-36.09	762
202.40	-35.51	764.8
202.95	-34.85	767.45
203.50	-35.73	769.96
204.05	-34.34	772.67
204.60	-35.37	775.1
205.15	-36.04	777.72
205.70	-35.43	780.51
206.25	-35.5	783.15
206.80	-34.47	785.8
207.35	-35.83	788.26
207.90	-35.13	791
208.45	-34.74	793.57
209.00	-36.49	796.08
209.55	-36.34	799
210.10	-36.14	801.88
210.65	-35.4	804.7
211.20	-35.13	807.34
211.75	-34.5	809.92
212.30	-35.2	812.39
212.85	-33.04	814.99
213.40	-34.97	817.28
213.95	-35.53	819.83
214.50	-35.27	822.5
215.05	-34.7	825.12
215.60	-34.99	827.62
216.15	-35.01	830.18
216.70	-35.8	832.74
217.25	-35.93	835.48
217.80	-36.56	838.26
218.35	-35.54	841.22
218.90	-36.13	843.9
219.45	-35.97	846.73
220.00	-35.68	849.52
220.55	-35.35	852.23
221.10	-35.15	854.87
221.65	-34.9	857.47
222.20	-34.97	860.02
222.75	-35.01	862.58
223.30	-34.2	865.15
223.85	-35.46	867.59
224.40	-34.67	870.26
224.95	-34.99	872.77
225.50	-35.35	875.34
226.05	-35.43	877.98
226.60	-35.74	880.65
227.15	-34	883.39
227.70	-35.5	885.8
228.25	-35.28	888.48
228.80	-35.35	891.11
229.35	-34.95	893.76
229.90	-36.58	896.33
230.45	-35.05	899.32
231.00	-34.91	901.9
231.55	-34.6	904.47
232.10	-35.98	906.97
232.65	-35.02	909.78
233.20	-34.81	912.37
233.75	-35.24	914.92
234.30	-34.8	917.55
234.85	-35.831	920.09
235.40	-35.95	922.87
235.95	-35.39	925.67
236.50	-35.34	928.34
237.05	-33.501	931
237.60	-34.38	933.36
238.15	-36.05	935.84
238.70	-35.41	938.68
239.25	-36.26	941.35
239.80	-34.65	944.25
240.35	-33.91	946.77
240.90	-34.97	949.19
241.45	-35.37	951.78
242.00	-35.54	954.45
242.55	-36.07	957.16
243.10	-34.55	960
243.65	-35.86	962.5
244.20	-35.18	965.3
244.75	-35.18	967.9
245.30	-36.17	970.6
245.85	-34.45	973.5
246.40	-34.03	976
246.95	-34.76	978.4
247.50	-35.43	981
248.05	-34.08	983.6
248.60	-35.55	986.1
249.15	-34.64	988.8
249.70	-32.74	991.3
250.25	-34.08	993.7
250.80	-32.97	996.1
251.35	-34.32	998.4
251.90	-35.48	1000.9
252.45	-34.48	1003.6
253.00	-35.23	1006.1
253.55	-34.88	1008.8
254.10	-34.82	1011.4
254.65	-35.46	1014
255.20	-35.38	1016.7
255.75	-36.02	1019.4
256.30	-34.3	1022.2
256.85	-35.09	1024.7
257.40	-34.4	1027.3
257.95	-34.74	1029.8
258.50	-34.63	1032.4
259.05	-35.09	1034.9
259.60	-35.94	1037.6
260.15	-35.59	1040.4
260.70	-34.68	1043.2
261.25	-33.5	1045.7
261.80	-34.72	1048.1
262.35	-34.05	1050.7
262.90	-33.77	1053.1
263.45	-35.16	1055.6
264.00	-35.74	1058.2
264.55	-35.6	1061
265.10	-34.72	1063.8
265.65	-35.62	1066.3
266.20	-35.36	1069.1
266.75	-35.86	1071.8
267.30	-34.41	1074.6
267.85	-35.54	1077.1
268.40	-35.59	1079.9
268.95	-35.53	1082.6
269.50	-35.24	1085.4
270.05	-35.5	1088
270.60	-34.83	1090.8
271.15	-35.57	1093.4
271.70	-36.41	1096.1
272.25	-35.47	1099.1
272.80	-35.46	1101.9
273.35	-35.01	1104.6
273.90	-35.56	1107.2
274.45	-35.18	1110
275.00	-32.83	1112.7
275.55	-33.26	1115
276.10	-34.4	1117.4
276.65	-35.57	1119.9
277.20	-35.53	1122.7
277.75	-35.41	1125.4
278.30	-34.92	1128.2
278.85	-34.97	1130.8
279.40	-34.14	1133.4
279.95	-34.62	1135.9
280.50	-33.8	1138.5
281.05	-35.17	1140.9
281.60	-36.93	1143.6
282.15	-35.51	1146.8
282.70	-35.65	1149.5
283.25	-36.19	1152.3
283.80	-35.13	1155.3
284.35	-33.72	1157.9
284.90	-36.44	1160.4
285.45	-33.9	1163.4
286.00	-34.61	1165.9
286.55	-34.46	1168.4
287.10	-35.21	1171
287.65	-35.38	1173.7
288.20	-36.76	1176.4
288.75	-33.8	1179.5
289.30	-34.2	1182
289.85	-35.48	1184.5
290.40	-34.26	1187.3
290.95	-34.94	1189.8
291.50	-33.76	1192.4
292.05	-33.17	1194.9
292.60	-34.38	1197.3
293.15	-35.04	1199.8
293.70	-33.99	1202.5
294.25	-34.55	1205
294.80	-33.53	1207.6
295.35	-34.16	1210
295.90	-34.38	1212.5
296.45	-35.35	1215.1
297.00	-36.25	1217.8
297.55	-34.22	1220.8
298.10	-34.79	1223.3
298.65	-34.66	1225.9
299.20	-34.61	1228.5
299.75	-35.04	1231.1
300.30	-34.91	1233.8
300.85	-34.21	1236.4
301.40	-33.64	1239
301.95	-34.18	1241.4
302.50	-34.26	1244
303.05	-35.86	1246.5
303.60	-35.33	1249.4
304.15	-35.57	1252.1
304.70	-36.011	1254.9
305.25	-35.37	1257.8
305.80	-35.14	1260.6
306.35	-35.62	1263.3
306.90	-34.4	1266.1
307.45	-35.2	1268.7
308.00	-34.8	1271.4
308.55	-36.2	1274
309.10	-36.09	1277
309.65	-34.7	1279.9
310.20	-34.79	1282.6
310.75	-34.16	1285.2
311.30	-34.91	1287.7
311.85	-35.72	1290.4
312.40	-34.78	1293.2
312.95	-33.55	1295.9
313.50	-34.66	1298.3
314.05	-35.05	1301
314.60	-35.39	1303.7
315.15	-35.3	1306.4
315.70	-34.69	1309.2
316.25	-34.82	1311.8
316.80	-34.23	1314.5
317.35	-34.32	1317
317.90	-33.99	1319.6
318.45	-34.26	1322.1
319.00	-36.42	1324.7
319.55	-35.64	1327.7
320.10	-35.8	1330.6
320.65	-35.47	1333.4
321.20	-35.21	1336.2
321.75	-34.89	1339
322.30	-35.89	1341.6
322.85	-34.05	1344.6
323.40	-35.18	1347.1
323.95	-34.88	1349.8
324.50	-33.69	1352.5
325.05	-35.96	1355
325.60	-35.32	1357.9
326.15	-35.26	1360.7
326.70	-34.4	1363.4
327.25	-36.91	1366
327.80	-34.51	1369.3
328.35	-35.13	1371.9
328.90	-34.14	1374.6
329.45	-34.24	1377.2
330.00	-36.49	1379.7
330.55	-35.81	1382.8
331.10	-35.65	1385.7
331.65	-35.94	1388.6
332.20	-34.5	1391.5
332.75	-34.05	1394.1
333.30	-34.34	1396.7
333.85	-33.67	1399.3
334.40	-34.21	1401.8
334.95	-34.96	1404.3
335.50	-34.02	1407
336.05	-34.31	1409.6
336.60	-34.84	1412.2
337.15	-36.24	1414.9
337.70	-35.26	1417.9
338.25	-34.34	1420.7
338.80	-35.61	1423.3
339.35	-36.26	1426.1
339.90	-35.05	1429.2
340.45	-34.73	1431.9
341.00	-36.34	1434.6
341.55	-35.45	1437.6
342.10	-35.06	1440.4
342.65	-35.6	1443.2
343.20	-36.55	1446
343.75	-35.03	1449.2
344.30	-36.41	1451.9
344.85	-34.97	1455
345.40	-35.67	1457.7
345.95	-34.7	1460.6
346.50	-34.88	1463.3
347.05	-35.68	1466
347.60	-35.4	1468.9
348.15	-35.72	1471.7
348.70	-36.13	1474.6
349.25	-34.97	1477.6
349.80	-36.95	1480.3
350.35	-35.23	1483.6
350.90	-35.9	1486.4
351.45	-35.02	1489.4
352.00	-34.65	1492.1
352.55	-34.37	1494.8
353.10	-34.22	1497.4
353.65	-34.95	1500
354.20	-37.16	1502.7
354.75	-35.09	1506.1
355.30	-35.55	1508.8
355.85	-33.13	1511.7
356.40	-34.92	1514.2
356.95	-33.72	1516.9
357.50	-35.08	1519.4
358.05	-35.18	1522.2
358.60	-34.61	1525
359.15	-36.18	1527.6
359.70	-35.75	1530.7
360.25	-34.7	1533.6
360.80	-35.23	1536.3
361.35	-33.3	1539.1
361.90	-34.88	1541.6
362.45	-34.56	1544.3
363.00	-36.1	1547
363.55	-34.27	1550
364.10	-34.54	1552.6
364.65	-34.31	1555.3
365.20	-34.05	1557.9
365.75	-34.48	1560.5
366.30	-35.24	1563.2
366.85	-35.76	1566
367.40	-35.61	1568.9
367.95	-33.84	1571.8
368.50	-34.49	1574.4
369.05	-33	1577
369.60	-33.81	1579.5
370.15	-34.23	1582
370.70	-34.55	1584.7
371.25	-34.07	1587.3
371.80	-35.12	1589.9
372.35	-34.95	1592.7
372.90	-34.73	1595.5
373.45	-34.82	1598.2
374.00	-35.3	1600.9
374.55	-35.14	1603.7
375.10	-34.93	1606.5
375.65	-35.44	1609.3
376.20	-34.95	1612.2
376.75	-36.22	1614.9
377.30	-36.06	1618
377.85	-33.93	1621
378.40	-35.07	1623.6
378.95	-35.2	1626.4
379.50	-35.12	1629.2
380.05	-34.82	1632
380.60	-35.05	1634.8
381.15	-34.15	1637.6
381.70	-36.22	1640.2
382.25	-36.72	1643.3
382.80	-34.64	1646.5
383.35	-35.44	1649.2
383.90	-34.95	1652.1
384.45	-35.05	1654.9
385.00	-35.65	1657.7
385.55	-33.18	1660.6
386.10	-34.58	1663.1
386.65	-36.04	1665.8
387.20	-35.63	1668.9
387.75	-35.84	1671.8
388.30	-35.25	1674.8
388.85	-34.86	1677.6
389.40	-34.42	1680.4
389.95	-34.41	1683.1
390.50	-34.83	1685.7
391.05	-35.22	1688.5
391.60	-35.04	1691.3
392.15	-34.88	1694.1
392.70	-34.95	1696.9
393.25	-34.78	1699.7
393.80	-33.86	1702.4
394.35	-35.98	1705
394.90	-34.28	1708.1
395.45	-33.91	1710.7
396.00	-35.6	1713.3
396.55	-34.87	1716.3
397.10	-36.01	1719
397.65	-35.32	1722.1
398.20	-35.19	1725
398.75	-34.73	1727.8
399.30	-35.9	1730.5
399.85	-35.83	1733.6
400.40	-35.5	1736.6
400.95	-34.7	1739.5
401.50	-36.38	1742.2
402.05	-35.66	1745.4
402.60	-35.2	1748.4
403.15	-36.31	1751.2
403.70	-35.44	1754.4
404.25	-33.92	1757.3
404.80	-34.61	1759.9
405.35	-34.1	1762.6
405.90	-34.46	1765.3
406.45	-35.25	1768
407.00	-34.94	1770.8
407.55	-34.86	1773.6
408.10	-35.52	1776.4
408.65	-34.96	1779.4
409.20	-35.72	1782.2
409.75	-35.45	1785.2
410.30	-35.21	1788.1
410.85	-35.3	1790.9
411.40	-36.15	1793.8
411.95	-36.33	1796.9
412.50	-35.29	1800.1
413.05	-34.69	1803
413.60	-35.36	1805.8
414.15	-34.79	1808.7
414.70	-35.6	1811.4
415.25	-33.22	1814.4
415.80	-34.88	1817
416.35	-35.41	1819.8
416.90	-34.72	1822.7
417.45	-35.13	1825.4
418.00	-34.82	1828.3
418.55	-34.69	1831.1
419.10	-35.09	1833.9
419.65	-34.78	1836.7
420.20	-35.83	1839.5
420.75	-35.53	1842.5
421.30	-34.4	1845.5
421.85	-34.88	1848.2
422.40	-35.21	1851
422.95	-34.59	1853.9
423.50	-35	1856.6
424.05	-34.41	1859.5
424.60	-34.17	1862.2
425.15	-35.71	1864.9
425.70	-34.48	1867.9
426.25	-35.11	1870.6
426.80	-34.89	1873.5
427.35	-34.83	1876.3
427.90	-34.49	1879.1
428.45	-34.41	1881.9
429.00	-34.62	1884.6
429.55	-34.56	1887.4
430.10	-34.61	1890.1
430.65	-34.91	1892.9
431.20	-34.49	1895.7
431.75	-34.33	1898.5
432.30	-34.02	1901.2
432.85	-33.62	1903.8
433.40	-35.21	1906.5
433.95	-34.07	1909.4
434.50	-34.8	1912
435.05	-34.79	1914.8
435.60	-35.74	1917.7
436.15	-35.03	1920.7
436.70	-34.07	1923.6
437.25	-34.55	1926.2
437.80	-33.11	1929
438.35	-33.83	1931.6
438.90	-34.66	1934.2
439.45	-35.4	1937
440.00	-35.73	1940
440.55	-35.12	1943
441.10	-34.84	1945.9
441.65	-34.68	1948.7
442.20	-35.63	1951.5
442.75	-33.71	1954.5
443.30	-35.62	1957.2
443.85	-35.11	1960.2
444.40	-35.56	1963.1
444.95	-34.75	1966.1
445.50	-35.16	1968.9
446.05	-36	1971.8
446.60	-34.37	1974.9
447.15	-34.52	1977.7
447.70	-33.64	1980.4
448.25	-35.06	1983.1
448.80	-35.19	1986
449.35	-34.88	1988.9
449.90	-34.83	1991.7
450.45	-35.08	1994.6
451.00	-34.51	1997.5
451.55	-34.23	2000.2
452.10	-34.16	2003
452.65	-34.14	2005.7
453.20	-34.38	2008.4
453.75	-35.3	2011.2
454.30	-34.8	2014.1
454.85	-35.22	2017
455.40	-37.22	2019.9
455.95	-35.09	2023.5
456.50	-36.25	2026.4
457.05	-35.32	2029.6
457.60	-34.17	2032.6
458.15	-33.87	2035.3
458.70	-35.79	2038
459.25	-36.53	2041.1
459.80	-35.83	2044.4
460.35	-35.86	2047.5
460.90	-34.65	2050.6
461.45	-34.44	2053.4
462.00	-33.47	2056.2
462.55	-35.12	2058.8
463.10	-35.06	2061.8
463.65	-35.73	2064.7
464.20	-35.02	2067.7
464.75	-34.56	2070.6
465.30	-35.15	2073.5
465.85	-34.34	2076.4
466.40	-33.98	2079.2
466.95	-33.86	2081.9
467.50	-35.19	2084.6
468.05	-35.32	2087.5
468.60	-35.86	2090.5
469.15	-36.12	2093.6
469.70	-35.3	2096.8
470.25	-34.72	2099.8
470.80	-35.41	2102.6
471.35	-34.62	2105.6
471.90	-35.51	2108.5
472.45	-34.62	2111.5
473.00	-35.01	2114.3
473.55	-34.7	2117.2
474.10	-34.69	2120.1
474.65	-35.35	2122.9
475.20	-35.2	2125.9
475.75	-33.77	2128.9
476.30	-35.82	2131.6
476.85	-34.43	2134.7
477.40	-34.7	2137.5
477.95	-34.7	2140.4
478.50	-34.71	2143.2
479.05	-34.34	2146.1
479.60	-35.53	2148.9
480.15	-35.24	2151.9
480.70	-35.25	2154.9
481.25	-34.37	2157.9
481.80	-36.21	2160.7
482.35	-35.53	2163.9
482.90	-34.88	2167
483.45	-35	2169.9
484.00	-35.05	2172.8
484.55	-36.01	2175.7
485.10	-35.59	2178.9
485.65	-36	2182
486.20	-35.03	2185.2
486.75	-35.8	2188.1
487.30	-33.69	2191.3
487.85	-35.01	2194
488.40	-34.92	2196.9
488.95	-34.03	2199.8
489.50	-34.75	2202.6
490.05	-34.61	2205.4
490.60	-36.57	2208.3
491.15	-34.43	2211.7
491.70	-32.86	2214.5
492.25	-33.54	2217.1
492.80	-33.77	2219.8
493.35	-35.46	2222.5
493.90	-34.82	2225.6
494.45	-35.9	2228.5
495.00	-33.18	2231.7
495.55	-34.8	2234.3
496.10	-34.89	2237.2
496.65	-35.05	2240.1
497.20	-33.34	2243.1
497.75	-34.46	2245.8
498.30	-34.49	2248.6
498.85	-34.91	2251.5
499.40	-34.73	2254.4
499.95	-34.78	2257.3
500.50	-34.73	2260.2
501.05	-34.36	2263.1
501.60	-35.05	2265.9
502.15	-34.56	2268.9
502.70	-35.42	2271.7
503.25	-34.92	2274.8
503.80	-36.36	2277.7
504.35	-34.4	2281.1
504.90	-34.03	2283.9
505.45	-35.4	2286.7
506.00	-35.57	2289.7
506.55	-34.75	2292.8
507.10	-35.121	2295.8
507.65	-35.62	2298.7
508.20	-35.98	2301.9
508.75	-35.03	2305.1
509.30	-35.74	2308.1
509.85	-35.28	2311.2
510.40	-35.01	2314.3
510.95	-34.03	2317.2
511.50	-33.61	2320
512.05	-34.76	2322.7
512.60	-35.49	2325.7
513.15	-34.24	2328.7
513.70	-34.63	2331.6
514.25	-35.89	2334.5
514.80	-35.79	2337.7
