state,pws,city,updatedAt,views,latitude,longitude,elevation,type,distance
AL,ME2603,Saltaire,,,30.52,-88.133,,,651.17
AL,MC1258,Seminole,,,30.522,-87.466,,,620.598
MS,KMSBILOX26,Biloxi,1 hour,,30.522,-89.039,49,AcuRite Pro Weather Center,691.428
AL,MAP513,Saltaire,,,30.524,-88.087,3,,648.546
MS,MTT089,Biloxi,,,30.524,-88.982,,,688.519
MS,MCKWM6,Biloxi,1 hour,,30.524,-88.982,127,,688.519
AL,KALROBER2,Robertsdale,50,,30.526,-87.729,95,Davis Vantage Pro2 Plus (Wireless),631.628
AL,MMBPA1,Saltaire,5 minutes,,30.527,-88.087,0,,648.26
MS,ME2111,Ocean Springs,,,30.528,-88.738,,,676.845
MS,KMSGULFP39,Gulfport,,,30.531,-89.257,150,AcuRite Pro Weather Center,700.18
MS,KMSVANCL6,Vancleave,8,,30.534,-88.67,75,AcuRite Pro Weather Center,673.212
AL,KALFAIRH30,Fairhope,27,,30.538,-87.897,128,Davis Vantage Pro2 (Wireless),638.152
AL,MUSA9,Montrose,,,30.54,-87.88,,,637.166
AL,KALSILVE4,Silverhill,14,,30.541,-87.747,138,Ambient Weather WS-1200-IP (Wireless),630.969
AL,KALFAIRH24,Fairhope,12 minutes,,30.541,-87.898,78,Netatmo,637.908
GA,MEDTF1,Saint George,3,19,30.542,-82.343,127,,377.102
AL,MFSHA1,Silverhill,,,30.545,-87.799,,,632.942
AL,MFRPA1,Montrose,29,,30.549,-87.876,82,,636.107
AL,KALROBER4,Robertsdale,,,30.55,-87.704,156,,628.154
AL,KALTHEOD12,Theodore,7 minutes,,30.554,-88.109,69,AcuRite Pro Weather Center,646.753
MS,KMSMOSSP6,Moss Point,0,,30.555,-88.555,46,Ambient Weather WS-1001-WiFi (Wireless),666.09
AL,KALMONTR4,Montrose,4,,30.557,-87.903,0,Davis Vantage Pro2 (Wireless),636.594
MS,MBLWM6,Saucier,20,,30.559,-89.122,68,,691.904
AL,MUSA4,Mobile,,,30.56,-88.1,,,645.741
MS,KMSCARRI2,Carriere,10,,30.564,-89.635,98,Davis Vantage Pro 2,712.961
MS,KMSCARRI13,Carriere,6,,30.569,-89.65,101,AcuRite Pro Weather Center,713.137
MS,KMSCARRI8,Carriere,10,,30.569,-89.629,125,AcuRite Pro Weather Center,712.204
MS,KMSCARRI10,Carriere,6,,30.572,-89.659,118,Netatmo,713.244
AL,KALFAIRH39,Fairhope,12 minutes,,30.578,-87.89,95,Ambient Weather WS-1001-WiFi (Wireless),633.953
AL,MUSA7,Loxley,,,30.58,-87.73,,,626.387
AL,MC3464,Mobile,,,30.581,-88.072,,,642.37
MS,KMSCARRI3,Carriere,6,,30.581,-89.646,100,Vantage Pro 2,711.781
AL,KALMOBIL65,Mobile,60,,30.582,-88.071,9,Weatherflow,642.225
AL,KALDAPHN10,Daphne,2 hours,,30.582,-87.854,141,Davis Vantage Pro2,631.884
AL,KALTHEOD3,Theodore,7 minutes,,30.584,-88.126,15,Davis Vantage Pro,644.731
AL,KALROBER6,Robertsdale,49,,30.584,-87.562,151,Ambient Weather WS-1400-IP (Wireless),618.544
AL,KALDAPHN19,Daphne,2 hours,,30.586,-87.898,115,Ambient Weather WS-1200-IP (Wireless),633.556
MS,KMSCARRI12,Carriere,6,,30.588,-89.575,180,Ambient Weather WS-1001-WiFi (Wireless),707.949
AL,KALDAPHN3,Daphne,2 hours,,30.59,-87.91,38,Davis Vantage Pro2,633.735
MS,KMSSAUCI6,Saucier,55,,30.592,-89.066,139,AcuRite Pro Weather Center,686.023
MS,KMSOCEAN33,Vancleave,8,,30.594,-88.701,145,Ambient Weather WS-900-IP (Wireless),668.718
AL,KALDAPHN2,Daphne,2 hours,,30.598,-87.914,30,Vantage Pro,633.152
MS,KMSPICAY6,Picayune,7 minutes,,30.603,-89.777,130,AcuRite Pro Weather Center,715.559
AL,M4I9H1,Robertsdale,,,30.604,-87.6,,,618.232
AL,KALDAPHN14,Daphne,2 hours,,30.604,-87.904,190,Netatmo,632.1
AL,KALMOBIL13,Mobile,18,,30.608,-88.259,154,Davis Vantage Pro-Wireless,648.366
AL,KALMOBIL78,Mobile,60,,30.617,-88.096,30,AcuRite Pro Weather Center,640.114
AL,MC8469,Mobile,,,30.619,-88.342,,,650.676
AL,MC1399,Mobile,,,30.62,-88.099,,,639.977
MS,KMSCARRI14,Carriere,2,,30.621,-89.74,130,other,712.111
AL,KALMOBIL59,Mobile,21,,30.624,-88.187,105,Davis Vantage Pro2 Plus (Wireless),643.857
AL,KALMOBIL44,Mobile,27,,30.626,-88.272,194,OS - WMR100n,647.089
AL,KALMOBIL58,Mobile,19,,30.627,-88.269,197,Davis Vantage Vue (Wireless),646.867
AL,KALMOBIL42,Mobile,21,,30.628,-88.168,154,,642.643
MS,KMSSAUCI2,Saucier,53,,30.63,-89.163,140,Davis Vantage Pro 2,686.431
MS,KMSSAUCI4,Saucier,53,,30.633,-88.971,115,Ambient Weather WS-1001-WiFi (Wireless),677.509
MS,KMSMOSSP2,Moss Point,0,,30.634,-88.42,130,Davis Vantage Pro 2,652.46
AL,MVKWB1,Mobile,,,30.637,-88.165,,,641.642
AL,KALDAPHN16,Daphne,2 hours,,30.639,-87.829,125,Davis Vantage Pro2 Plus (Wireless),625.196
MS,KMSCARRI5,Carriere,8,,30.639,-89.703,131,Davis Vantage Vue,708.67
AL,MUSA11,Loxley,,,30.64,-87.73,,,620.53
AL,ME0905,Loxley,,,30.643,-87.76,,,621.612
AL,KALMOBIL91,Mobile,17,,30.646,-88.24,53,AcuRite Pro Weather Center,643.778
AL,KALMOBIL89,Mobile,23,,30.646,-88.239,197,AcuRite Pro Weather Center,643.738
AL,KALMOBIL54,Mobile,11,,30.647,-88.183,200,Ambient Weather 2090,641.379
AL,MMCGA1,Mobile,13 minutes,,30.648,-88.058,0,,635.296
AL,MNP196,Mobile,,,30.648,-88.058,,,635.296
AL,KALMOBIL84,Mobile,28,,30.648,-88.276,177,Ambient Weather WS-1400-IP (Wireless),645.048
AL,KALMOBIL52,Mobile,25,,30.655,-88.286,190,,644.758
MS,KMSCARRI11,Carriere,8,,30.657,-89.529,180,Ambient Weather WS-2090 (Wireless),699.129
AL,KALMOBIL85,Mobile,26,,30.662,-88.279,184,other,643.769
GA,MGNTG1,Manor,,6,30.663,-82.247,,,360.832
AL,KALMOBIL57,Mobile,9,20,30.664,-88.187,207,,639.828
AL,KALMOBIL63,Mobile,23,,30.664,-88.218,129,Davis Vantage Pro2 (Wireless),641.078
AL,MC5826,Spanish Fort,,,30.667,-87.905,,,626.078
AL,KALSPANI5,Spanish Fort,30,,30.667,-87.899,144,AcuRite Pro Weather Center,625.792
AL,MAS256,Mobile,4 minutes,,30.668,-88.115,29,,636.213
AL,MMHPA1,Spanish Fort,2,,30.67,-87.94,0,,627.464
AL,KALROBER5,Robertsdale,60,,30.67,-87.46,180,Netatmo,605.628
AL,MPTOA1,Mobile,20,,30.671,-88.031,0,,631.781
AL,ME8738,Mobile,4 minutes,,30.671,-88.116,52,,635.978
AL,M26NW1,Mobile,,,30.674,-88.09,,,634.402
AL,KALSPANI9,Spanish Fort,31,,30.679,-87.914,120,AcuRite Pro Weather Center,625.354
AL,KALMOBIL49,Mobile,8 minutes,,30.68,-88.12,43,Davis Vantage Vue,635.325
AL,KALMOBIL87,Mobile,30,,30.685,-88.07,30,AcuRite Pro Weather Center,632.368
AL,KALMOBIL93,Mobile,,,30.686,-88.174,165,AcuRite Pro Weather Center,637.091
AL,KALMOBIL68,Mobile,8,,30.686,-88.163,217,Ambient Weather WS-1400-IP (Wireless),636.65
AL,KALMOBIL70,Mobile,15,,30.686,-88.28,194,Davis Vantage Pro2 Plus (Wireless),641.409
AL,KALMOBIL67,Mobile,3,,30.688,-88.038,13,Davis Vantage Pro2 Plus (Wireless),630.506
AL,KALSPANI11,Spanish Fort,5,,30.69,-87.804,223,Bloomsky,619.092
AL,KALMOBIL37,Mobile,6,,30.69,-88.031,18,,629.972
AL,MD1459,Mobile,,,30.691,-88.16,,,636.026
AL,MYSU42,Mobile,,,30.696,-88.053,,,630.483
AL,KALMOBIL81,Mobile,12,,30.696,-88.172,194,Ambient Weather WS-1400-IP (Wireless),636.004
AL,MUSA1,Mobile,,,30.7,-88.18,,,635.924
GA,MSTNG1,Lake Park,18,6,30.704,-83.033,118,,394.354
AL,MOBLA1,Mobile,33,,30.708,-88.043,0,,628.85
AL,MNP197,Mobile,,,30.708,-88.043,,,628.85
GA,M454AX,Dixie,,4,30.715,-83.63,,,422.31
AL,KALSPANI10,Spanish Fort,31,,30.715,-87.897,110,Ambient Weather WS-1200-IP (Wireless),621.083
MS,KMSHURLE2,Hurley,4,,30.724,-88.544,118,Ambient Weather WS-1000 (Wireless),648.949
GA,KGATHOMA3,Thomasville,4,15,30.726,-84.128,252,Ambient Weather WS-2090 (Wireless),445.061
MS,KMSPERKI4,Perkinston,19,,30.729,-89.106,236,AcuRite Pro Weather Center,674.176
GA,MATPG1,Attapulgus,,4,30.736,-84.497,,,461.908
GA,MTS818,Folkston,4 minutes,14,30.74,-82.128,68,,347.407
GA,M455AX,Valdosta,,3,30.742,-83.026,,,390.417
GA,KGASTMAR7,St. Marys,13,56,30.742,-81.559,20,AcuRite Pro Weather Center,320.391
AL,KALMOBIL7,Mobile,29,,30.742,-88.205,171,Davis Vantage Vue,632.72
GA,KGAVALDO5,Valdosta,6,244,30.743,-83.395,233,Ambient Weather WS-1001-WiFi (Wireless),409.642
GA,KGASTMAR8,St. Marys,11,71,30.744,-81.521,19,Ambient Weather WS-1001-WiFi (Wireless),318.64
AL,MC0979,Mobile,,,30.744,-88.205,,,632.519
AL,KALSTAPL3,Stapleton,4,,30.745,-87.785,217,AcuRite Pro Weather Center,612.883
GA,KGAATTAP3,Attapulgus,25,32,30.746,-84.549,138,AcuRite Pro Weather Center,463.153
GA,KGASAINT7,Saint Marys,18,37,30.751,-81.604,43,AcuRite Pro Weather Center,321.373
AL,MD6471,Wilmer,5,,30.752,-88.404,177,,640.07
GA,MGA356,Kingsland,9 minutes,8,30.753,-81.651,13,,323.189
GA,MCSAG1,Saint Marys,23,3,30.764,-81.471,0,,314.629
GA,KGASAINT9,Saint Marys,16,69,30.764,-81.611,18,Ambient Weather WS-1200-IP (Wireless),320.379
AL,KALCHICK2,Chickasaw,12,,30.77,-88.088,32,Alabama Department of Environmental Management,625.193
GA,KGAKINGS3,Kingsland,60,66,30.773,-81.726,34,Davis Vantage Pro2 (Wireless),324.548
GA,MAT088,Saint Marys,,3,30.78,-81.591,,,317.939
MS,M446AX,Barth,,,30.791,-89.365,,,678.759
GA,MQUTG1,Quitman,,5,30.793,-83.454,,,407.044
AL,MAV161,Stapleton,48,,30.793,-87.877,209,,612.643
MS,MAT174,McHenry,,,30.794,-89.28,,,674.835
MS,M447AX,Lucedale,,,30.795,-88.654,,,646.97
GA,KGAWHIGH3,Whigham,12,57,30.797,-84.324,280,Ambient Weather WS-1400-IP (Wireless),448.637
GA,KGATHOMA9,Thomasville,3,75,30.807,-84.004,305,Ambient Weather WS-1400-IP (Wireless),431.132
GA,MCING1,Saint Marys,13,10,30.808,-81.46,22,,309.752
GA,KGAKINGS9,Kingsland,60,142,30.808,-81.805,36,Davis Vantage Pro2 (Wireless),324.811
MS,KMSHOWEL2,Howell,17,,30.809,-88.41,262,LaCrosse,634.692
AL,KALSARAL4,Saraland,4,,30.814,-88.087,0,AcuRite Pro Weather Center,620.717
GA,KGAKINGS10,Kingsland,60,84,30.816,-81.628,46,Ambient Weather WS-1001-WiFi (Wireless),315.967
MS,MAESM6,Lucedale,,,30.816,-88.521,,,638.895
GA,MOKAG1,Quitman,,4,30.826,-83.562,,,408.389
